Seq,College,Town,Wiki_Summary
937,North Carolina Wesleyan College,Rocky Mount ...,"North Carolina Wesleyan University (NCWU) is a private Methodist university in Rocky Mount, North Carolina. It was founded in 1956. North Carolina Wesleyan also offers evening courses at its main Rocky Mount campus, as well as satellite locations in Morrisville, Goldsboro, Greenville, Whiteville, Washington, and Wilmington, North Carolina.

"
938,North Central College,Naperville ...,"North Central College is a private college in Naperville, Illinois. It is affiliated with the United Methodist Church and has nearly 70 areas of study in undergraduate majors, minors, and programs through 19 academic departments organized in three undergraduate colleges/schools (College of Arts and Sciences, School of Business and Entrepreneurship, School of Education and Health Sciences) and a masters program (School of Graduate and Professional Studies)."
939,North Central University,Minneapolis,"North Central University (NCU) is a private Christian university associated with the Assemblies of God and located in Minneapolis, Minnesota. It is owned and operated by 11 Assemblies of God districts of the upper Midwest. NCU was founded in 1930 and is accredited by the Higher Learning Commission. It is one of 17 Assemblies of God institutions of higher education in the United States."
940,North Dakota State University,Fargo,"The North Dakota State University of Agriculture and Applied Sciences, more commonly known as North Dakota State University (NDSU), is a public land-grant research university in Fargo, North Dakota.  
The university was founded as North Dakota Agricultural College in 1890 as the state's land-grant university. NDSU is classified among ""R1: Doctoral Universities – Very high research activity"". As of 2021, NDSU offers 94 undergraduate majors, 146 undergraduate degree programs, 5 undergraduate certificate programs, 84 undergraduate minors, 87 master's degree programs, 52 doctoral degree programs of study, and 210 graduate certificate programs.NDSU is part of the North Dakota University System. It is the largest university in the state of North Dakota. The university also operates North Dakota's agricultural research extension centers distributed across the state on 18,488 acres (75 km2). In 2015, NDSU's economic impact on the state and region was estimated to be $1.3 billion a year according to the NDUS Systemwide Economic Study by the School of Economics at North Dakota State University. In 2016, it was also the fifth-largest employer in the state of North Dakota."
941,North Greenville University,Tigerville,"North Greenville University is a private Baptist university in Tigerville, South Carolina.  It is associated with the South Carolina Baptist Convention and the Southern Baptist Convention and accredited by the Southern Association of Colleges and Schools. The institution awards bachelor's, master's, and doctoral degrees.

"
942,North Park University,Chicago,"North Park University is a private Christian university in Chicago, Illinois.  It was founded in 1891 by the Evangelical Covenant Church. It is located on Chicago's north side and enrolls more than 3,000 undergraduate and graduate students."
943,Northeast Ohio Medical University,Rootstown,"Northeast Ohio Medical University (NEOMED) is a public medical school in Rootstown, Ohio, United States. The university specializes in graduate education in medicine and pharmacy but also has a College of Graduate Studies.
Its medical school has partnerships with four public universities (Akron, Cleveland State, Kent State, and Youngstown State) and one private college (Hiram). It also has 24 hospital partners, while the pharmacy school has over 100 pharmacy partners. The class size has grown to around 160 medical and 80 pharmacy students."
944,Northeastern Illinois University,Chicago,"Northeastern Illinois University (NEIU) is a public university in Chicago, Illinois. NEIU serves approximately 9,000 students in the region and is a Hispanic Serving Institution. The main campus is located in the community area of North Park with three additional campuses in the metropolitan area. NEIU has one of the longest running free-form community radio stations, WZRD Chicago 88.3 FM.

"
945,Northeastern State University,Tahlequah,not available
946,Northeastern University,Boston ...,not available
947,Northern Arizona University,Flagstaff ...,"Northern Arizona University (NAU) is a public research university based in Flagstaff, Arizona. It was founded in 1899 as the final public university established in the Arizona Territory, 13 years before Arizona was admitted as the 48th state.
A member of the Association of Public and Land-grant Universities, NAU is one of the three universities governed by the Arizona Board of Regents and accredited by the Higher Learning Commission. As of fall 2021, 28,718 students were enrolled at NAU with 21,248 at the Flagstaff campus. The university is divided into eight colleges offering about 130 undergraduate degrees, 100 graduate programs, and various academic certificates. Students can take classes and conduct research in Flagstaff, online, and at more than 20 statewide locations, including the Phoenix Biomedical Campus.
The university is classified among ""R2: Doctoral Universities – High research activity"" and ranked No. 191 in the National Science Foundation (NSF) national research rankings for fiscal year 2019. It is ranked No. 57 nationally among the most innovative schools in the 2021 U.S. News Best Colleges Ranking. NAU's astronomy faculty co-discovered several astronomical bodies, such as Eris, Sedna, and are major participants in the search for the hypothetical Planet Nine, with the university being a primary institution of the Lowell Observatory. NAU is a federally designated Hispanic Serving Institution.
The NAU Lumberjacks compete in the NCAA Division I, primarily as part of the Big Sky Conference, and have won several national championships, notably in cross country running. At an elevation of 6,950 ft (2,120 m) above sea level, the school's athletic facilities are used by Olympic and professional athletes worldwide for prestige high altitude training."
948,Northern Illinois University,DeKalb,"Northern Illinois University (NIU) is a public research university in DeKalb, Illinois. It was founded as Northern Illinois State Normal School on May 22, 1895, by Illinois Governor John P. Altgeld as part of an expansion of the state's system for producing college-educated teachers.  In addition to the main campus in DeKalb, it has satellite centers in Chicago, Naperville, Rockford, and Oregon, Illinois.
The university is composed of seven degree-granting colleges and has a student body of 25,000 with over 240,000 alumni. NIU is one of only two public universities in Illinois that compete in the National Collegiate Athletic Association at the highest levels of all sports, Division I. The university's athletic teams are known as the Huskies and compete in the Mid-American Conference (MAC).

"
949,Northern Kentucky University,Highland Heights ...,"Northern Kentucky University is a public university in Highland Heights, Kentucky.  It is primarily an undergraduate institution with over 14,000 students; over 12,000 are undergraduate students and nearly 2,000 are graduate students. Northern Kentucky University is the third largest university, behind the University of Cincinnati and Miami University, of Greater Cincinnati's four large universities and the youngest of Kentucky's eight, although it joined the state system before the University of Louisville. Notable among the university's programs are the Salmon P. Chase College of Law and the College of Informatics, founded in 2006."
950,Northern Michigan University,Marquette,"Northern Michigan University (NMU) is a public university in Marquette, Michigan.  It was established in 1899 and offers programs in undergraduate, master's degrees, Doctor of Nursing Practice and specialist certifications."
951,Northern New Mexico College,Espanola ...,"Northern New Mexico College is a public college in Española, New Mexico.

"
952,Northern State University,Aberdeen,"Northern State University (NSU) is a public university in Aberdeen, South Dakota. NSU is governed by the South Dakota Board of Regents and offers 45 bachelor's degrees, 53 minors, six associate degrees, 16 pre-professional programs, 23 certificates and 10 graduate degrees."
953,Northern Vermont University,Johnson ...,"Northern Vermont University (NVU) is a public university in Johnson and Lyndon, Vermont.  Established in 2018 by the unification of the former Johnson State College and Lyndon State College, the university offers over 50 Bachelor's degree programs and Master's degree programs."
954,Northland College,Ashland,"Northland College is a private college in Ashland, Wisconsin. Founded as the North Wisconsin Academy in 1892, the college was established in 1906. Originally affiliated with the Congregational Church, the college remains loosely tied to the Congregational Church's descendant, the United Church of Christ. It enrolls 526 full-time undergraduates and employs 60 faculty members and 99 staff members. Northland College is accredited by the Higher Learning Commission.

"
955,Northpoint Bible College,Haverhill,"Northpoint Bible College and Graduate School (NPBC) is a private Pentecostal Bible college in Haverhill, Massachusetts. The college's sole purpose is to teach and train students for Pentecostal ministry for the spread of the Christian gospel. It offers degree and certificate programs in Biblical Studies and related fields.

"
956,Northwest Florida State College,Niceville,"Northwest Florida State College is a public college in Niceville, Florida. It is part of the Florida College System and is accredited by the Southern Association of Colleges and Schools to award associate and baccalaureate degrees. Northwest Florida State College has multiple campuses but has operated continuously on its Niceville campus since 1963. The college also operates a charter high school, the Collegiate High School at Northwest Florida State College, which opened in 2000.

"
957,Northwest Missouri State University,Maryville ...,"Northwest Missouri State University is a public university in Maryville, Missouri. It has an enrollment of about 7,870 students. Founded in 1905 as a teachers college, its campus is based on the design for Forest Park at the 1904 St. Louis World's Fair and is the official Missouri State Arboretum. The school is governed by a state-appointed Board of Regents and headed by President John Jasinski.
The Northwest Bearcats compete in the National Collegiate Athletic Association (Division II) and Mid-America Intercollegiate Athletics Association for men's and women's sports.

"
958,Northwest Nazarene University,Nampa,"Northwest Nazarene University (NNU) is a private Christian university in Nampa, Idaho.

"
959,Northwest University,Kirkland ...,"Northwest University is a private Christian liberal arts university in Kirkland, Washington. The university offers associate, baccalaureate, master's, and doctorate degrees through its College of Arts & Sciences, School of Business and Management, School of Education, Mark and Huldah Buntain School of Nursing, College of Ministry, and College of Social and Behavioral Sciences. The university has a satellite campus in Salem, Oregon."
960,Northwestern College,Orange City,"Northwestern College (NWC and informally Northwestern Iowa) is a private Christian liberal arts college in Orange City, Iowa. It is affiliated with the Reformed Church in America and enrolls more than 1,500 students. In addition to approximately 1,000 students in bachelor's degree programs, the college has a growing graduate school, which includes a master's degree program in physician assistant studies launched in June 2020. Northwestern began as an academy in 1882. It became a junior college in 1928 and a four-year institution in 1961.
Northwestern has been accredited by the Higher Learning Commission since 1953.  In addition, the athletic training, business, education, nursing and social work programs are accredited by their respective accreditation organizations.

"
961,Northwestern Health Sciences University,Bloomington,"Northwestern Health Sciences University (NWHSU) is a private university focused on alternative health care and located in Bloomington, Minnesota. The university has educational programs in chiropractic, Traditional Chinese medicine, acupuncture, therapeutic massage, Allied health professions and human biology. The university was founded in 1941 by John B. Wolfe, DC.Previously Northwestern College of Chiropractic, Northwestern Health Sciences University has focused on alternative and integrative health care education, patient care, and research for over 70 years. Since 1991, NWHSU’s Wolfe-Harris Center for Clinical Studies has become one of the largest natural health care research institutions in the United States.

"
962,Northwestern Oklahoma State University,Alva ...,"Northwestern Oklahoma State University (NWOSU) is a public university in Alva, Oklahoma, with satellite campuses in Enid and Woodward. It offers both bachelor's and master's degrees.

"
963,Northwestern State University of Louisiana,Natchitoches,"Northwestern State University of Louisiana (NSU) is a public university primarily situated in Natchitoches, Louisiana, with a nursing campus in Shreveport and general campuses in Leesville/Fort Polk and Alexandria. It is a part of the University of Louisiana System.

NSU was founded in 1884 as the Louisiana State Normal School. It was the first school in Louisiana to offer degree programs in nursing and business education. NSU, along with numerous other state colleges, gained university status in 1970 during the administration of President Arnold R. Kilpatrick, a Northwestern State alumnus who served from 1966 to 1978. Kilpatrick succeeded the 12-year president, John S. Kyser, a native of El Paso, Illinois.NSU was one of the first six colleges to enter into NASA's Joint Venture Program. Students worked with NASA scientists to help analyze data and do research for the 1996 Space Shuttle Columbia shuttle mission. NSU also hosts the Louisiana Scholars' College, Louisiana's designated honors college in the liberal arts and sciences. The Louisiana School for Math, Science, and the Arts, a state-supported residential high school for sophomores, juniors, and seniors, is also located on the campus. It was a brainchild of former State Representative Jimmy D. Long of Natchitoches, who also attended NSU.
NSU offers more than 50 degree programs. Fall 2018 total enrollment was 11,081, the largest in the university's 133-year history. NSU also claims more than 70,000 alumni."
964,Northwestern University,Evanston ...,not available
965,Northwood University,Midland ...,"Northwood University (NU) is a private university in Midland, Michigan. Opened in 1959, more than 33,000 people have graduated from the institution.

"
966,Norwich University,Northfield,"Norwich University – The Military College of Vermont is a private military academy in Northfield, Vermont. It is the oldest private and senior military college in the United States and offers bachelor's and master's degrees on-campus and online. The university was founded in 1819 in Norwich, Vermont, as the American Literary, Scientific and Military Academy. It is the oldest of six senior military colleges and is recognized by the United States Department of Defense as the ""Birthplace of ROTC"" (Reserve Officers' Training Corps)."
967,Notre Dame College,Cleveland,"Notre Dame College (Notre Dame College of Ohio or NDC) is a private Roman Catholic college in South Euclid, Ohio. Established in 1922 as a women's college, it has been coeducational since January 2001. Notre Dame College offers 30 majors and individually designed majors and confers undergraduate and graduate degrees through five academic divisions. The college had a total enrollment of 2,100 students in fall 2016. The 48-acre (19.4 ha) main academic and residential campus is located 10 miles (16 km) east of Cleveland in South Euclid.
Fielding athletic teams known as the Notre Dame Falcons, the college is a member of the National Collegiate Athletic Association (NCAA) at the Division II level. Notre Dame is a member of the Mountain East Conference (MEC), a Division II conference that began playing in the 2013–14 school year. Prior to joining the NCAA, the college competed in the NAIA as a member of the American Mideast Conference. The official school and athletic colors are royal blue and gold.While the majority of Notre Dame's students are from Ohio, the student body represents 38 states and 19 countries. The college offers a number of extracurricular activities to its students, including athletics, honor societies, clubs and student organizations."
968,Notre Dame de Namur University,Belmont,"Notre Dame de Namur University (NDNU) is a private Catholic university in Belmont, California. It is the third oldest college in California and the first college in the state authorized to grant the baccalaureate degree to women. In 2021, the university announced it will begin to operate as a graduate school only.The university is organized into three schools: the College of Arts and Sciences, the School of Business and Management, and the School of Education and Leadership. Notre Dame de Namur University offers 15 undergraduate degrees, 10 graduate degrees and four credentials. In addition to traditional undergraduate and graduate programs, the university offers an evening bachelor's degree completion program for working adults as well as online degree programs."
969,Notre Dame of Maryland University,Baltimore,"Notre Dame of Maryland University is a private Catholic university in Baltimore, Maryland. It is Maryland's only women's college and offers certificate, undergraduate, and graduate programs for women and men."
970,Nova Southeastern University,Fort Lauderdale ...,"Nova Southeastern University (NSU or, informally, Nova) is a private research university with its main campus in Davie, Florida. The university consists of 18 total colleges, centers, and schools offering over 150 programs of study. The university offers professional degrees in the social sciences, law, business, osteopathic medicine, allopathic medicine, allied health, pharmacy, dentistry, optometry, physical therapy, education, occupational therapy, and nursing. As of 2019, 20,576 students were enrolled at Nova Southeastern University, with more than 170,000 alumni. With a main campus located on 314 acres in Davie, Florida, NSU operates additional campuses in Dania Beach, North Miami Beach, Tampa, Florida, and centers throughout the state of Florida.
The university was founded in 1964 as the Nova University of Advanced Technology on a former naval outlying landing field built during World War II and first offered graduate degrees in the physical and social sciences. In 1994, the university merged with the Southeastern University of the Health Sciences and assumed its current name.NSU is classified among ""R2: Doctoral Universities – High research activity""; it also classified as a ""community engaged"" university by the Carnegie Foundation for the Advancement of Teaching. The university is accredited by the Southern Association of Colleges and Schools and also has numerous additional specialized accreditations for its colleges and programs.The NSU Sharks compete in Division II of the National Collegiate Athletic Association (NCAA) as members of the Sunshine State Conference.

"
971,Nyack College,Nyack,"Nyack College ( (listen)) is a private Christian college affiliated with the Christian and Missionary Alliance and located in New York, New York. Enrolling just over 1,000 students, the school is organized in three academic divisions, including the Alliance Theological Seminary, the College of Arts and Sciences, and the College of Graduate and Professional Programs. Nyack offers both on-campus and online courses as part of its undergraduate, graduate, and seminary programs.
The college plans to close its Nyack location and consolidate to its New York presence at its Manhattan campus beginning September 2020."
972,Oak Hills Christian College,Bemidji,"Oak Hills Christian College is a private, nondenominational Christian college outside of Bemidji, Minnesota. It is a division of Oak Hills Fellowship, which was founded in 1927 for the purpose of instructing youth and adults ""in Bible without denominational emphasis or bias."" In addition to its many evangelistic ministries, the Fellowship opened Oak Hills Christian Training School, a residential college, in 1946.
Over the years the Fellowship has changed the name of the school to Oak Hills Bible Institute (1959), Oak Hills Bible College (1985), and Oak Hills Christian College (1998).
In 2018 the college, which is Protestant and evangelical, had approximately 103 students enrolled in its bachelor of arts, associate in arts, and certificate in biblical studies programs.

"
973,Oak Point University,Chicago,"Oak Point University, formerly Resurrection University is a private university in Chicago, Illinois. It was founded on February 17, 1914, and has two colleges, a College of Nursing and a College of Health Sciences, and offers undergraduate and graduate/professional programs in the health sciences with a significant focus on nursing. The university has over 5,600 university alumni. There are two campus locations, one in Wicker Park and one in Oak Brook.

"
974,Oakland City University,Oakland City,"Oakland City University (OCU) is a private university affiliated with the General Baptist Church and located in Oakland City, Indiana. It is the only General Baptist Church-affiliated college or university in the United States. Founded in 1885, it has slowly grown to the present student enrollment of about 1,200 on the main campus and, counting all sites, about 2,000 total. OCU's athletics teams, known as the Oaks, play in the National Christian College Athletic Association (NCCAA) and National Association of Intercollegiate Athletics (NAIA) and the River States Conference.
In addition to the institution's Oakland City main campus, the university has satellite campuses in Evansville, Indianapolis, Rockport and Bedford. The Bedford branch is housed in the former headquarters of the Indiana Limestone Company. These sites emphasizes experiential application over objectives and theory. Students from a wide age range attend OCU. Courses are provided in an accelerated pace and condensed format, much like how summer school operates in more traditional programs. Students may take one or two courses at a time and enroll as full-time.

"
975,Oakland University,Rochester,"Oakland University is a public research university in Auburn Hills and Rochester Hills, Michigan. It is the second largest university in the Detroit Metropolitan Area with 20,012 students and it is classified among ""R2: Doctoral Universities – High research activity."" The university offers 132 bachelor's degree programs and 138 professional graduate certificate, master's degree, and doctoral degree programs, including those offered by the Oakland University William Beaumont School of Medicine.
Oakland University was created in 1957 when the heiress to the Dodge automaker fortune, Matilda Dodge Wilson and her second husband, lumber baron Alfred Wilson, donated their 1,443-acre (584 ha) estate to Michigan State University, for the formation of Michigan State University-Oakland, later renamed Oakland University. The donation included two million dollars, their contiguous mansions Meadow Brook Hall and Sunset Terrace, which now forms the Oakland University campus, and all associated collections of cultural artifacts. Covering 88,000 square feet (8,200 m2) and with 110 rooms, the Tudor-Revival style Meadow Brook Hall is the fourth largest historic mansion museum in the United States, a National Historic Landmark, and is classified as one of America’s Castles.The university's athletic teams compete in Division I of the NCAA and are collectively known as the Golden Grizzlies. They are members of the Horizon League."
976,Oakwood University,Huntsville,"Oakwood University is a private, historically black Seventh-day Adventist university in Huntsville, Alabama. It is the only HBCU owned and operated by the Seventh-day Adventist Church.

Oakwood University is accredited by the Southern Association of Colleges and Schools (SACS) and the Department of Education of the General Conference of Seventh-day Adventists (through the Adventist Accrediting Association) to award associate, baccalaureate, and master's degrees.
Oakwood University owns and operates the Christian radio station WJOU 90.1 FM, formerly WOCG.Oakwood University is the only ISO 9001 certified HBCU in the United States.In 2014, it became the first HBCU to offer a Massive Open Online Course (MOOC).In 2018, the U.S. Senate recognized Oakwood University for being the fifth leading producer of African-American applicants to U.S. medical schools. That same year, the university became the first academic institution to receive the 2018 Crystal Apple Award from the Partnership for a Healthier America for its campus wellness initiatives.

"
977,Oberlin College,Oberlin,"Oberlin College is a private liberal arts college and conservatory of music in Oberlin, Ohio. It is the oldest coeducational liberal arts college in the United States and the second oldest continuously operating coeducational institute of higher learning in the world. The Oberlin Conservatory of Music is the oldest continuously operating conservatory in the United States. In 1835, Oberlin became one of the first colleges in the United States to admit African Americans, and in 1837 the first to admit women (other than Franklin College's brief experiment in the 1780s). It has been known since its founding for progressive student activism.The College of Arts & Sciences offers more than 50 majors, minors, and concentrations. Oberlin is a member of the Great Lakes Colleges Association and the Five Colleges of Ohio consortium. Since its founding, Oberlin has graduated 16 Rhodes Scholars, 20 Truman Scholars, 12 MacArthur fellows, 4 Rome Prize winners, 7 Pulitzer Prize winners, and 4 Nobel laureates."
978,Occidental College,Los Angeles,"Occidental College (informally Oxy) is a private liberal arts college in Los Angeles, California. Founded in 1887 as a coeducational college by clergy and members of the Presbyterian Church, it became non-sectarian in 1910. It is one of the oldest liberal arts colleges on the West Coast of the United States.
Occidental's current 120-acre (49 ha) campus is located in Eagle Rock, Los Angeles, and was designed by architect Myron Hunt. Due to its proximity to Hollywood and its architecture, the campus is frequently used as a filming location for film and television productions. Occidental is a founding member of the Southern California Intercollegiate Athletic Conference and its 20 varsity sports teams compete in NCAA Division III. The college's curriculum emphasizes diversity, global literacy, and civic engagement.Notable alumni include a President of the United States, a Cabinet member, several members of the United States Congress, CEOs of notable companies, 10 Rhodes Scholars, and recipients of the Nobel Prize, Pulitzer Prize, Academy Award, BAFTA Award, and Emmy Award."
979,Oglethorpe University,Atlanta,"Oglethorpe University is a private college in Brookhaven, Georgia. It was chartered in 1835 and named in honor of General James Edward Oglethorpe, founder of the Colony of Georgia."
980,Ohio Christian University,Circleville,"Ohio Christian University (OCU) is a private Christian college in Circleville, Ohio. The school is denominationally affiliated with the Churches of Christ in Christian Union."
981,Ohio Dominican University,Columbus,"Ohio Dominican University is a private Dominican liberal arts university in Columbus, Ohio. The university has approximately 1,700 students and offers undergraduate degrees in 40 majors as well as nine graduate degree programs.

"
982,Ohio Northern University,Ada,"Ohio Northern University (Ohio Northern or ONU) is a private United Methodist Church–affiliated university in Ada, Ohio. Founded by Henry Solomon Lehr in 1871, ONU is accredited by the Higher Learning Commission. It offers over 60 programs to choose from across five colleges: arts & sciences, business, engineering, pharmacy, and law. It is one of only four universities in Ohio to have both a pharmacy school and a law school, along with Ohio State University, the University of Cincinnati, and the University of Toledo.

"
983,Ohio University,Athens ...,"Ohio University is a public research university in Athens, Ohio. The first university chartered by an Act of Congress and the first to be chartered in Ohio, it was chartered in 1787 by the Congress of the Confederation and subsequently approved for the territory in 1802 and state in 1804, opening for students in 1809. Ohio University is the oldest university in Ohio, the tenth oldest public university in the United States and the 32nd oldest among public and private universities. As of fall 2020, the university's total enrollment at Athens was slightly more than 18,000, while the all-campus enrollment was just over 28,000.Ohio University offers more than 250 areas of undergraduate study as well as certificates, master's and doctoral degrees. Undergraduate admissions are selective with further admission requirements for its journalism and other select schools. The Heritage College of Osteopathic Medicine maintains separate select admissions criteria and is the most selective college at the university. The university is accredited by the Higher Learning Commission and classified among ""R1: Doctoral Universities – Very high research activity"". Since 2008, 16 students have won the Barry M. Goldwater Scholarship, 32 students have won the NSF-GRFP and 94 students have become Fulbright Program U.S. grantees and one Alumnus has shared the Nobel Prize.Ohio's athletic teams are called the Bobcats and compete in the National Collegiate Athletic Association (NCAA) at the Division I level as charter members of the Mid-American Conference. Ohio football has participated in 13 bowl games through the 2019 season.  The men's basketball team has made 14 appearances in the NCAA Men's Division I Basketball Championship, with their most recent appearance coming in 2021."
984,Ohio University Southern,Ironton,"Ohio University Southern Campus is a satellite campus of Ohio University in Ironton, Ohio. The campus also has an extension in Proctorville, Ohio, and the Ohio Horse Park in Franklin Furnace, Ohio.
The university began in 1956 when it hosted college-level classes in Ironton High School with an initial enrollment of 90 students."
985,Ohio University-Chillicothe,Chillicothe,"Ross County is a county in the Appalachian region of the U.S. state of Ohio. As of the 2020 United States Census, the population was 77,093. Its county seat is Chillicothe, the first and third capital of Ohio. Established on August 20, 1798, the county is named for Federalist Senator James Ross of Pennsylvania.
Ross County comprises the Chillicothe, OH Micropolitan Statistical Area, which is also included in the Columbus-Marion-Zanesville, OH Combined Statistical Area."
986,Ohio Valley University,Vienna,"Ohio Valley University was a private Christian college located between Parkersburg and Vienna in West Virginia. Founded in 1958 (with classes beginning in fall 1960), the school integrated education with teachings of the Christian faith. The college was physically located on two separate campuses totalling 267 acres (108 ha). At one time, OVU offered bachelor's degrees in more than 30 different subject areas, but scaled back its academic options as enrollment numbers and financial stability dropped significantly in recent years. The college was accredited by the Higher Learning Commission, and was placed under academic probation in 2020 by the Higher Learning Commission due to ongoing long-term financial struggles. In December 2021, the OVU Board of Directors voted to close the college after the Fall 2021 semester. The West Virginia Higher Education Policy Commission voted to revoke OVU's authority to grant degrees shortly thereafter.  Seniors were allowed to finish their degrees without the loss of any credit hours in the spring semester of 2022 at several other institutions of higher education related to Churches of Christ through ""teach out"" agreements.

"
987,Ohio Wesleyan University,Delaware ...,"Ohio Wesleyan University (OWU) is a private liberal arts college in Delaware, Ohio. It was founded in 1842 by Methodist leaders and Central Ohio residents as a nonsectarian institution, and is a member of the Ohio Five – a consortium of Ohio liberal arts colleges. Ohio Wesleyan has always admitted students irrespective of religion or race and maintained that the university ""is forever to be conducted on the most liberal principles.""The 200-acre (81 ha) site is 27 miles (44 km) north of Columbus, Ohio.  It includes the main academic and residential campus, the Perkins Observatory, and the Kraus Wilderness Preserve."
988,Oklahoma Baptist University,Shawnee,"Oklahoma Baptist University (OBU) is a private Baptist university in Shawnee, Oklahoma. It was established in 1910 under the original name of The Baptist University of Oklahoma. OBU is owned and was founded by the Baptist General Convention of Oklahoma."
989,Oklahoma Christian University,Edmond ...,"Oklahoma Christian University (OC) is a private Christian university in Oklahoma City, Oklahoma. It was founded in 1950 by members of the Churches of Christ.

"
990,Oklahoma City University,Oklahoma City,"Oklahoma City University (OCU) is a private university historically affiliated with the United Methodist Church and located in Oklahoma City, Oklahoma.
The university offers undergraduate bachelor's degrees, graduate master's degrees and doctoral degrees, organized into eight colleges and schools and one Methodist seminary. Students can major in more than 70 undergraduate majors, 20 graduate degrees, including a JD, MBA and PhD in Nursing, and an Adult Studies Program for working adults to earn a Bachelor of Science or Bachelor of Arts degree. The university has approximately 3,000 students, including 1,200 graduate students. The official school and athletic colors are blue and white."
991,Oklahoma Panhandle State University,Goodwell,"Oklahoma Panhandle State University (OPSU) is a public college in Goodwell, Oklahoma. OPSU is a baccalaureate degree-granting institution. General governance of the institution is provided by the Board of Regents of the Oklahoma Agricultural and Mechanical Colleges. Academic programs and financial support are authorized and coordinated through the Oklahoma State Regents for Higher Education.

"
992,Oklahoma State University,Stillwater ...,"Stillwater (Iowa-Oto: Ñápinⁿje, meaning: ""Water quiet"") is a city in, and the county seat of, Payne County, Oklahoma, United States. It is located in north-central Oklahoma at the intersection of U.S. Route 177 and State Highway 51. As of the 2010 census, the city population was 45,688, making it the tenth-largest city in Oklahoma. The Stillwater Micropolitan Statistical Area had a population of 78,399 according to the 2012 census estimate. Stillwater was part of the first Oklahoma Land Run held on April 22, 1889, when the Unassigned Lands were opened for settlement and became the core of the new Oklahoma Territory. The city charter was adopted on August 24, 1889, and operates under a council-manager government system.
Stillwater has a diverse economy with a foundation in aerospace, agribusiness, biotechnology, optoelectronics, printing and publishing, and software and standard manufacturing. Stillwater is home to the main campus of Oklahoma State University (the city's largest employer) as well as Northern Oklahoma College – Stillwater, Meridian Technology Center, and the Oklahoma Department of Career and Technology Education. The city is home to the National Wrestling Hall of Fame and Museum."
993,Oklahoma Wesleyan University,Bartlesville,"Oklahoma Wesleyan University (OKWU) is a private university of the Wesleyan church in Bartlesville, Oklahoma.  In 2018, the school had 1006 undergraduate students, with approximately 600 of those on its main campus in Bartlesville.

"
994,Old Dominion University,Norfolk,"Old Dominion University (ODU or Old Dominion) is a public research university in Norfolk, Virginia.  It was established in 1930 as the Norfolk Division of the College of William & Mary and is now one of the largest universities in Virginia with an enrollment of 24,286 students for the 2021 academic year. Old Dominion University also enrolls over 700 international students from 89 countries. Its main campus covers 251 acres (1.02 km2) straddling the city neighborhoods of Larchmont, Highland Park, and Lambert's Point, approximately five miles (8.0 km) from Downtown Norfolk.
Old Dominion University is classified among ""R1: Doctoral Universities – Very high research activity"". According to the National Science Foundation, ODU spent $60.3 million on research and development in 2018. It contributes nearly $2 billion annually in economic impact to the regional economy.The university offers 168 undergraduate and graduate degree programs to over 24,000 students and is one of the nation's largest providers of distance learning coursework. Old Dominion University has approximately 124,000 alumni in all 50 states and 67 countries. Old Dominion University derives its name from one of Virginia's state nicknames, ""The Old Dominion"", given to the state by King Charles II of England for remaining loyal to the crown during the English Civil War."
995,Olivet College,Olivet,"Olivet College is a private Christian college in Olivet, Michigan. Olivet College is affiliated with the United Church of Christ and the National Association of Congregational Christian Churches and stands in the Reformed tradition of Protestantism. The college is accredited by the Higher Learning Commission. It was founded in 1844 by missionaries from Oberlin College, and it followed Oberlin in becoming the second coeducational college or university in the United States."
996,Olivet Nazarene University,Bourbonnais,"Olivet Nazarene University (ONU) is a private Nazarene university in Bourbonnais, Illinois. Named for its founding location, Olivet, Illinois, ONU was originally established as a grammar school in east-central Illinois in 1907.  In the late 1930s, it moved to the campus in Bourbonnais. The university is affiliated with the Church of the Nazarene and is the annual site of the church's Regional Celebrate Life youth gathering for the Central USA Region.

"
997,Oral Roberts University,Tulsa,"Oral Roberts University (ORU) is a private evangelical university in Tulsa, Oklahoma. Founded in 1963, the university is named after its founder, evangelist Oral Roberts.
Sitting on a 323-acre (1.31 km2) campus, ORU offers over 70 undergraduate degree programs along with 20 graduate programs across six colleges. ORU is classified among ""Baccalaureate Colleges: Diverse Fields"". Most popular majors include ministry and leadership, nursing, engineering, psychology, and business administration. The university enrolls approximately 4,000 students.Students may take part in mission trips as part of 60 clubs that are available through the university. In 2018, over 500 students completed trips across five continents. Students are required to attend weekly chapel services."
998,Oregon Health & Science University,Portland ...,not available
999,Oregon Institute of Technology,Klamath Falls,"The Oregon Institute of Technology (Oregon Tech) is a public polytechnic university in Oregon with a residential campus in Klamath Falls, Oregon, an urban campus in Wilsonville, Oregon, and additional locations in Salem and Seattle. Oregon Tech provides 32 degree programs in engineering, health technologies, management, communication, psychology, and applied sciences with a total of 37 majors. Almost all students complete externships, co-ops, or other hands-on training inside and outside the classroom.

"
